Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-18,193.0399932861328,193.57000732421875,191.52999877929688,191.60000610351562,5053300,0,0
2021-06-21,193.58999633789062,196.6300048828125,193.58999633789062,195.2100067138672,2528400,0,0
2021-06-22,194.75,196.0500030517578,194.10000610351562,195.13999938964844,1772600,0,0
2021-06-23,194.8000030517578,195.4199981689453,192.27999877929688,192.36000061035156,2976500,0,0
2021-06-24,193.3000030517578,193.74000549316406,191.63999938964844,193.25999450683594,2191800,0,0
